Title,Ingredients,Label
Ayam Woku Manado,kemiri,0
Ayam Woku Manado,salam,0
Ayam Woku Manado,jeruk nipis garam kunyit bawang merah bawang putih cabe merah cabe rawit merah,0
Ayam Woku Manado,kemangi air,0
Ayam Woku Manado,salam daun kemangi,0
Ayam Woku Manado,cabe merah cabe rawit merah,0
Ayam Woku Manado,garam kunyit bawang merah bawang putih cabe merah,0
Ayam Woku Manado,merah cabe rawit merah kemiri sereh daun salam daun kemangi,0
Ayam Woku Manado,bawang putih cabe merah cabe rawit merah kemiri sereh daun salam daun,0
Ayam Woku Manado,cabe merah cabe rawit merah kemiri sereh daun salam daun,0
Ayam Woku Manado,air,0
Ayam Woku Manado,kunyit,0
Ayam Woku Manado,merah cabe rawit merah kemiri sereh daun salam daun,0
Ayam Woku Manado,putih cabe merah cabe rawit merah kemiri sereh daun salam daun,0
Ayam Woku Manado,daun salam,0
Ayam Woku Manado,daun salam daun kemangi,0
Ayam Woku Manado,jeruk nipis garam kunyit bawang merah bawang putih cabe merah cabe rawit merah kemiri sereh daun salam daun kemangi,0
Ayam Woku Manado,nipis garam kunyit bawang merah bawang putih cabe merah cabe rawit merah kemiri sereh daun salam daun kemangi air,0
Ayam Woku Manado,cabe rawit merah kemiri sereh daun salam,0
Ayam Woku Manado,bawang merah bawang putih cabe merah cabe rawit merah,0
Ayam Woku Manado,ayam jeruk nipis garam kunyit bawang merah bawang putih,0
Ayam Woku Manado,cabe rawit merah kemiri sereh daun salam daun,0
Ayam Woku Manado,rawit merah kemiri sereh daun salam daun kemangi air,0
Ayam Woku Manado,rawit merah kemiri sereh daun salam,0
Ayam Woku Manado,bawang merah,0
Ayam Woku Manado,rawit merah kemiri sereh daun salam daun kemangi,0
Ayam Woku Manado,nipis garam kunyit bawang merah bawang putih cabe merah,0
Ayam Woku Manado,merah cabe,0
Ayam Woku Manado,merah cabe rawit merah kemiri sereh daun salam daun kemangi air,0
Ayam Woku Manado,jeruk nipis garam kunyit bawang merah bawang putih cabe merah cabe rawit merah kemiri sereh daun salam,0
Ayam Woku Manado,merah,0
Ayam Woku Manado,daun,0
Ayam Woku Manado,merah bawang putih cabe merah,0
Ayam Woku Manado,cabe merah cabe rawit,0
Ayam Woku Manado,sereh daun salam daun kemangi,0
Ayam Woku Manado,garam kunyit bawang merah bawang putih cabe merah cabe rawit merah kemiri sereh daun,0
Ayam Woku Manado,garam kunyit bawang merah bawang putih cabe merah cabe rawit,0
Ayam Woku Manado,nipis,0
Ayam Woku Manado,merah cabe rawit merah kemiri,0
Ayam Woku Manado,merah bawang putih cabe merah cabe rawit merah kemiri sereh daun salam daun kemangi,0
Ayam Woku Manado,bawang merah bawang putih cabe merah cabe rawit merah kemiri sereh daun,0
Ayam Woku Manado,bawang merah bawang putih cabe merah cabe rawit merah kemiri,0
Ayam Woku Manado,garam kunyit bawang,0
Ayam Woku Manado,jeruk nipis garam,0
Ayam Woku Manado,kemiri sereh,0
Ayam Woku Manado,kemiri sereh daun salam daun kemangi,0
Ayam Woku Manado,bawang,0
